Units,Appliances,Hours,Season,Rate,Bill
236,12,4.2,Monsoon,6.5,2493.6
418,9,7.3,Winter,6.0,3178.4
510,7,12.8,Summer,7.0,4532.4
100,10,6.3,Monsoon,6.5,1329.4
385,7,12.2,Winter,6.0,3170.6
305,8,4.2,Monsoon,6.5,2693.1
109,7,5.7,Winter,6.0,1325.6
249,8,13.0,Monsoon,6.5,2625.5
483,10,8.6,Summer,7.0,4134.8
518,3,12.3,Summer,7.0,4108.4
346,7,5.6,Summer,7.0,3115.8
425,7,5.0,Winter,6.0,3210.0
163,8,1.7,Winter,6.0,1671.6
438,4,9.6,Summer,7.0,3464.8
333,4,12.0,Summer,7.0,2855.0
209,8,9.9,Summer,7.0,2398.2
556,12,4.7,Summer,7.0,4841.6
197,3,13.6,Summer,7.0,1859.8
106,5,8.7,Monsoon,6.5,1299.6
283,2,8.9,Winter,6.0,2051.2
388,11,9.0,Summer,7.0,3594.0
122,6,8.2,Monsoon,6.5,1451.6
598,11,5.8,Summer,7.0,5128.4
188,7,13.5,Winter,6.0,2046.0
236,7,3.7,Monsoon,6.5,2209.6
356,10,11.6,Monsoon,6.5,3413.8
556,7,11.8,Winter,6.0,4108.4
331,2,5.0,Winter,6.0,2336.0
555,10,9.1,Summer,7.0,4833.8
109,8,12.1,Winter,6.0,1455.8
297,6,11.5,Winter,6.0,2518.0
362,9,1.6,Winter,6.0,2748.8
327,12,6.6,Summer,7.0,3387.8
567,11,10.4,Summer,7.0,5054.2
175,5,4.3,Summer,7.0,1644.4
457,8,8.4,Winter,6.0,3523.2
418,6,10.3,Winter,6.0,3174.4
337,4,3.0,Winter,6.0,2314.0
202,12,8.2,Winter,6.0,2165.6
301,12,7.6,Summer,7.0,3217.8
369,2,11.9,Monsoon,6.5,2862.7
449,3,5.3,Summer,7.0,3609.4
360,1,13.7,Summer,7.0,3101.6
209,11,12.4,Winter,6.0,2417.2
92,10,5.1,Summer,7.0,1531.8
428,3,13.6,Winter,6.0,3122.8
196,2,6.5,Winter,6.0,1375.0
134,3,3.4,Monsoon,6.5,1299.2
167,4,3.0,Winter,6.0,1409.0
311,9,6.3,Monsoon,6.5,2858.9
519,5,8.6,Winter,6.0,3559.8
181,4,9.3,Monsoon,6.5,1681.9
163,3,4.5,Monsoon,6.5,1512.5
240,1,6.6,Summer,7.0,2019.8
113,4,5.1,Winter,6.0,1074.8
544,2,10.1,Monsoon,6.5,3933.8
282,7,2.9,Monsoon,6.5,2334.2
232,5,11.8,Monsoon,6.5,2049.4
249,5,8.9,Summer,7.0,2458.2
529,2,7.4,Winter,6.0,3516.2
492,5,7.8,Monsoon,6.5,3843.4
162,10,2.0,Winter,6.0,1749.0
410,10,4.6,Monsoon,6.5,3339.8
101,11,11.8,Summer,7.0,1897.4
259,8,8.0,Summer,7.0,2633.0
265,10,6.9,Winter,6.0,2534.2
561,6,6.6,Summer,7.0,4515.8
187,3,5.6,Monsoon,6.5,1670.3
490,9,2.0,Winter,6.0,3476.0
338,6,2.9,Winter,6.0,2555.2
81,11,12.4,Monsoon,6.5,1674.7
135,4,8.0,Winter,6.0,1399.0
532,1,4.0,Monsoon,6.5,3766.0
374,8,12.5,Summer,7.0,3586.0
109,11,9.1,Summer,7.0,1704.8
242,5,8.4,Monsoon,6.5,2265.2
175,4,13.9,Winter,6.0,1607.2
200,11,11.9,Winter,6.0,2353.2
378,9,10.3,Monsoon,6.5,3392.4
563,4,7.2,Winter,6.0,3763.6
275,10,7.9,Winter,6.0,2440.2
362,7,5.7,Summer,7.0,3257.6
82,5,10.6,Winter,6.0,1263.8
581,3,7.1,Monsoon,6.5,4267.3
420,9,11.0,Winter,6.0,3456.0
409,4,13.8,Winter,6.0,3072.4
472,4,12.2,Monsoon,6.5,3729.6
405,12,7.4,Summer,7.0,3867.2
235,8,13.6,Winter,6.0,2224.8
419,2,12.4,Monsoon,6.5,3275.7
547,1,10.5,Summer,7.0,4247.0
238,2,7.4,Monsoon,6.5,1869.2
487,11,2.5,Winter,6.0,3725.0
469,6,9.3,Monsoon,6.5,3797.9
116,10,2.4,Monsoon,6.5,1468.2
172,7,13.7,Summer,7.0,1943.6
250,12,5.2,Winter,6.0,2289.6
412,1,5.2,Summer,7.0,3135.6
229,4,8.1,Winter,6.0,1999.8
264,3,3.7,Monsoon,6.5,2059.6
326,8,12.9,Monsoon,6.5,2923.2
552,11,4.7,Summer,7.0,4690.6
89,8,12.8,Monsoon,6.5,1585.9
155,8,13.3,Summer,7.0,2127.4
514,12,4.6,Winter,6.0,3996.8
473,8,2.8,Summer,7.0,3954.4
447,10,5.2,Monsoon,6.5,3702.1
485,5,1.6,Summer,7.0,3639.8
588,5,11.2,Monsoon,6.5,4427.6
440,4,9.5,Monsoon,6.5,3364.0
220,11,2.7,Monsoon,6.5,2090.6
531,1,8.7,Winter,6.0,3411.6
382,6,10.8,Summer,7.0,3305.4
215,9,12.5,Summer,7.0,2477.0
593,5,11.9,Monsoon,6.5,4493.7
382,12,12.4,Winter,6.0,3327.2
157,3,10.9,Winter,6.0,1407.2
486,9,6.1,Monsoon,6.5,3966.8
350,9,3.0,Summer,7.0,3157.0
348,10,6.3,Monsoon,6.5,3128.4
319,8,1.8,Summer,7.0,2940.4
306,11,2.3,Winter,6.0,2702.4
389,11,6.6,Monsoon,6.5,3349.3
118,5,13.9,Summer,7.0,1449.2
320,9,3.2,Summer,7.0,2996.6
509,10,10.8,Winter,6.0,3935.4
181,8,9.2,Winter,6.0,1856.6
459,4,7.0,Summer,7.0,3639.0
181,11,6.1,Winter,6.0,2004.8
487,5,3.9,Summer,7.0,3755.2
173,11,4.2,Winter,6.0,1730.6
421,4,13.9,Summer,7.0,3735.2
150,9,4.1,Summer,7.0,1709.8
416,3,11.4,Summer,7.0,3277.2
228,3,8.3,Winter,6.0,1734.4
106,3,1.7,Summer,7.0,955.6
411,1,3.7,Monsoon,6.5,2716.1
511,9,2.9,Summer,7.0,4125.2
539,6,7.9,Winter,6.0,3750.2
595,4,13.3,Winter,6.0,4074.4
388,8,9.5,Monsoon,6.5,3173.0
570,7,6.8,Summer,7.0,4540.4
534,2,12.7,Winter,6.0,3703.6
231,2,3.1,Monsoon,6.5,1867.3
412,7,13.9,Monsoon,6.5,3643.2
544,9,9.1,Winter,6.0,4003.8
197,11,9.6,Monsoon,6.5,2396.3
300,7,7.1,Monsoon,6.5,2569.8
427,8,6.5,Winter,6.0,3162.0
517,6,9.8,Winter,6.0,3807.4
565,2,2.6,Summer,7.0,4050.8
522,2,10.8,Summer,7.0,4126.4
141,10,13.5,Summer,7.0,2152.0
205,7,5.9,Winter,6.0,1916.2
132,5,9.0,Monsoon,6.5,1465.0
599,4,3.4,Summer,7.0,4644.2
190,6,12.1,Summer,7.0,2096.8
365,10,4.3,Summer,7.0,3394.4
106,10,13.1,Monsoon,6.5,1691.8
264,5,10.3,Summer,7.0,2469.4
439,1,3.8,Winter,6.0,2728.4
490,2,3.3,Monsoon,6.5,3272.4
300,7,6.7,Summer,7.0,2766.6
458,5,10.5,Summer,7.0,3965.0
166,1,3.4,Monsoon,6.5,1114.2
163,5,7.0,Monsoon,6.5,1647.5
532,7,4.9,Winter,6.0,3896.2
433,7,2.9,Summer,7.0,3666.2
395,1,4.3,Monsoon,6.5,2630.9
289,5,13.3,Summer,7.0,2640.4
376,6,3.0,Winter,6.0,2834.0
520,3,3.1,Monsoon,6.5,3783.8
315,9,8.5,Monsoon,6.5,2901.5
486,12,2.0,Summer,7.0,4097.0
159,6,8.7,Winter,6.0,1730.6
507,5,2.9,Winter,6.0,3308.2
255,10,7.3,Winter,6.0,2419.4
527,2,4.5,Summer,7.0,4000.0
160,7,12.4,Monsoon,6.5,1865.2
421,3,2.5,Summer,7.0,3120.0
278,6,5.9,Monsoon,6.5,2287.2
185,3,4.7,Summer,7.0,1559.6
236,11,2.4,Monsoon,6.5,2418.2
539,11,13.1,Winter,6.0,4454.8
410,11,5.5,Monsoon,6.5,3609.0
560,8,9.4,Summer,7.0,4693.2
137,6,7.8,Monsoon,6.5,1506.9
542,1,2.2,Winter,6.0,3374.6
172,10,8.9,Summer,7.0,2149.2
122,8,12.9,Winter,6.0,1755.2
272,6,9.1,Monsoon,6.5,2518.8
143,8,2.8,Summer,7.0,1624.4
166,9,9.6,Monsoon,6.5,1802.8
528,8,8.1,Summer,7.0,4373.8
461,5,6.3,Winter,6.0,3290.4
133,11,9.6,Monsoon,6.5,1731.3
176,9,10.0,Winter,6.0,1916.0
233,6,2.5,Winter,6.0,1780.0
397,11,10.2,Winter,6.0,3432.6
166,5,8.5,Summer,7.0,1743.0
175,11,9.9,Summer,7.0,2327.2
98,6,5.4,Winter,6.0,1088.2
577,4,4.3,Winter,6.0,3762.4
159,5,12.1,Summer,7.0,1677.8
118,11,5.7,Monsoon,6.5,1558.6
465,3,3.5,Monsoon,6.5,3249.5
528,1,6.6,Monsoon,6.5,3652.8
371,12,11.3,Winter,6.0,3291.4
324,5,13.6,Monsoon,6.5,2901.8
456,11,13.3,Summer,7.0,4354.4
368,7,7.8,Winter,6.0,2945.4
284,10,3.2,Summer,7.0,2705.6
572,6,8.4,Summer,7.0,4531.2
207,5,2.5,Monsoon,6.5,1672.5
540,9,3.3,Winter,6.0,3990.4
307,8,12.6,Summer,7.0,2884.8
134,7,7.8,Winter,6.0,1447.4
163,6,4.3,Winter,6.0,1501.4
423,3,3.2,Summer,7.0,3241.6
222,12,7.4,Winter,6.0,2171.2
99,5,4.2,Summer,7.0,1061.6
513,2,11.2,Monsoon,6.5,3749.1
204,1,4.5,Winter,6.0,1499.0
193,8,9.0,Summer,7.0,1981.0
327,12,3.3,Monsoon,6.5,3066.9
441,4,8.6,Summer,7.0,3532.8
167,9,13.7,Monsoon,6.5,1938.1
599,9,8.4,Monsoon,6.5,4762.7
124,11,6.3,Winter,6.0,1676.4
96,6,11.4,Winter,6.0,1311.2
186,10,10.7,Summer,7.0,2271.6
125,6,8.3,Summer,7.0,1436.4
555,12,7.5,Monsoon,6.5,4540.5
144,12,11.2,Summer,7.0,2185.6
380,4,2.0,Summer,7.0,2928.0
403,5,7.9,Summer,7.0,3495.2
339,1,10.9,Winter,6.0,2351.2
445,1,12.3,Winter,6.0,3098.4
207,6,7.0,Winter,6.0,1882.0
530,7,5.7,Monsoon,6.5,4004.6
589,6,13.1,Winter,6.0,4405.8
164,12,6.8,Winter,6.0,2024.4
264,9,5.2,Monsoon,6.5,2348.6
415,11,5.2,Summer,7.0,3843.6
516,3,10.1,Monsoon,6.5,3860.8
123,12,12.4,Winter,6.0,1895.2
525,5,9.5,Monsoon,6.5,3882.5
495,6,7.9,Summer,7.0,4007.2
226,10,10.0,Summer,7.0,2586.0
209,2,4.4,Summer,7.0,1753.2
472,10,1.9,Winter,6.0,3463.2
540,6,6.2,Monsoon,6.5,3962.6
220,9,6.1,Monsoon,6.5,2195.8
365,4,13.5,Monsoon,6.5,2873.5
270,8,8.0,Monsoon,6.5,2636.0
348,5,10.3,Summer,7.0,3008.4
372,12,13.0,Monsoon,6.5,3663.0
205,3,12.2,Summer,7.0,2052.6
535,2,11.6,Summer,7.0,4212.8
435,12,2.3,Monsoon,6.5,3798.9
387,3,10.4,Winter,6.0,2747.2
600,4,3.0,Winter,6.0,3896.0
322,8,1.8,Summer,7.0,2957.4
457,8,11.5,Monsoon,6.5,3944.5
168,2,5.4,Summer,7.0,1552.2
500,7,11.8,Monsoon,6.5,3922.4
404,11,2.4,Summer,7.0,3698.2
432,3,12.5,Monsoon,6.5,3485.0
266,3,6.9,Monsoon,6.5,1995.2
236,5,3.6,Summer,7.0,2092.8
310,6,13.3,Monsoon,6.5,2892.4
160,5,4.0,Winter,6.0,1529.0
208,11,5.3,Winter,6.0,2234.4
594,11,3.6,Summer,7.0,5120.8
255,11,9.3,Summer,7.0,2782.4
122,1,2.5,Monsoon,6.5,1073.0
295,10,6.7,Winter,6.0,2472.6
376,11,13.5,Winter,6.0,3446.0
495,5,7.2,Summer,7.0,3871.6
530,7,7.6,Summer,7.0,4331.8
227,6,12.3,Winter,6.0,2109.4
433,7,3.1,Monsoon,6.5,3395.3
188,6,4.5,Monsoon,6.5,1650.0
540,4,3.3,Winter,6.0,3467.4
473,10,6.7,Winter,6.0,3606.6
400,4,11.0,Winter,6.0,3073.0
558,8,12.5,Monsoon,6.5,4601.0
172,7,7.8,Summer,7.0,1850.4
441,1,2.1,Summer,7.0,3313.8
561,5,8.2,Monsoon,6.5,4106.1
217,5,10.6,Winter,6.0,1979.8
126,7,2.1,Winter,6.0,1406.8
451,9,5.1,Summer,7.0,3931.8
541,9,5.0,Monsoon,6.5,4151.5
179,7,6.2,Summer,7.0,1904.6
454,3,4.0,Monsoon,6.5,3368.0
592,1,2.1,Winter,6.0,3595.8
421,8,8.0,Monsoon,6.5,3406.5
223,6,13.1,Monsoon,6.5,2219.3
482,10,10.7,Summer,7.0,4326.6
424,9,11.9,Monsoon,6.5,3796.2
386,8,11.7,Winter,6.0,3201.6
192,7,8.8,Winter,6.0,1716.4
565,5,13.6,Monsoon,6.5,4524.3
313,12,2.1,Monsoon,6.5,2968.3
469,3,11.8,Summer,7.0,3782.4
192,4,1.7,Summer,7.0,1661.6
235,7,10.1,Winter,6.0,2207.8
562,12,10.6,Monsoon,6.5,4649.8
292,9,5.6,Monsoon,6.5,2733.8
465,6,13.5,Monsoon,6.5,3875.5
430,9,5.9,Monsoon,6.5,3530.2
575,4,13.5,Monsoon,6.5,4367.5
385,4,13.3,Monsoon,6.5,3136.9
292,12,10.3,Winter,6.0,2832.4
437,9,13.2,Winter,6.0,3566.6
204,10,10.0,Winter,6.0,2198.0
433,3,5.1,Winter,6.0,2932.8
160,6,13.1,Monsoon,6.5,1777.8
570,4,4.0,Monsoon,6.5,4202.0
358,3,2.9,Winter,6.0,2574.2
328,1,9.9,Summer,7.0,2759.2
318,1,2.8,Summer,7.0,2388.4
563,2,10.0,Monsoon,6.5,3989.5
241,7,9.7,Summer,7.0,2506.6
284,5,5.5,Winter,6.0,2063.0
317,9,10.7,Summer,7.0,2972.6
507,3,13.2,Summer,7.0,3981.6
587,3,13.2,Winter,6.0,4084.6
89,5,8.6,Summer,7.0,1092.8
371,8,13.9,Winter,6.0,3263.2
585,3,12.1,Monsoon,6.5,4425.3
277,2,5.6,Winter,6.0,2032.8
343,12,3.8,Monsoon,6.5,3137.9
277,3,9.1,Winter,6.0,2168.8
415,2,6.5,Winter,6.0,2700.0
223,8,5.5,Summer,7.0,2212.0
347,7,4.4,Summer,7.0,2993.2
389,10,10.5,Winter,6.0,3133.0
448,12,4.5,Winter,6.0,3504.0
394,3,6.6,Winter,6.0,2850.8
398,12,3.0,Monsoon,6.5,3452.0
306,4,13.5,Winter,6.0,2568.0
545,12,13.9,Summer,7.0,5025.2
562,9,11.5,Winter,6.0,4240.0
163,9,7.1,Summer,7.0,1959.8
194,1,11.9,Summer,7.0,1864.2
233,3,5.6,Summer,7.0,2098.8
199,11,4.1,Winter,6.0,2171.8
173,9,7.1,Winter,6.0,1699.8
215,9,6.7,Winter,6.0,2200.6
553,11,11.6,Summer,7.0,4771.8
340,1,10.8,Winter,6.0,2553.4
126,7,5.8,Summer,7.0,1381.4
141,2,13.8,Monsoon,6.5,1523.9
373,7,3.7,Summer,7.0,3088.6
510,6,13.9,Monsoon,6.5,4139.2
466,7,2.5,Winter,6.0,3447.0
436,2,3.7,Summer,7.0,3410.6
210,12,13.7,Winter,6.0,2274.6
385,8,9.9,Summer,7.0,3620.2
468,4,4.6,Winter,6.0,3223.8
362,4,13.2,Summer,7.0,3070.6
509,10,11.1,Summer,7.0,4381.8
291,2,2.8,Summer,7.0,2112.4
129,4,10.8,Winter,6.0,1391.4
319,9,4.2,Winter,6.0,2494.6
595,5,4.4,Summer,7.0,4757.2
408,4,5.3,Winter,6.0,2779.4
306,7,5.3,Monsoon,6.5,2473.4
259,11,10.0,Monsoon,6.5,2812.5
128,6,13.3,Winter,6.0,1575.4
406,12,6.7,Monsoon,6.5,3532.6
465,3,10.9,Winter,6.0,3382.2
310,5,12.2,Summer,7.0,2759.6
139,9,6.7,Winter,6.0,1669.6
217,7,4.5,Monsoon,6.5,1945.5
160,8,12.1,Winter,6.0,1715.8
275,1,4.9,Monsoon,6.5,1859.7
272,10,10.6,Summer,7.0,2986.8
570,4,12.4,Summer,7.0,4617.2
95,4,13.2,Winter,6.0,1109.6
570,4,10.2,Monsoon,6.5,4204.6
325,9,5.5,Winter,6.0,2683.0
557,9,9.6,Winter,6.0,4202.8
448,9,12.5,Winter,6.0,3711.0
560,6,12.9,Summer,7.0,4710.2
503,1,8.5,Winter,6.0,3284.0
229,1,4.8,Monsoon,6.5,1836.9
507,5,3.4,Monsoon,6.5,3733.7
468,10,11.9,Summer,7.0,4364.2
425,5,11.0,Monsoon,6.5,3495.5
582,8,3.6,Monsoon,6.5,4433.8
223,12,8.3,Summer,7.0,2517.4
140,9,1.9,Monsoon,6.5,1436.2
129,1,6.7,Monsoon,6.5,1059.1
234,1,4.2,Summer,7.0,1903.6
141,10,9.5,Winter,6.0,1859.0
579,1,1.6,Monsoon,6.5,4005.3
92,1,8.1,Winter,6.0,833.8
373,1,7.8,Monsoon,6.5,2777.9
189,2,8.1,Summer,7.0,1652.8
338,6,4.8,Summer,7.0,2943.4
462,7,7.2,Summer,7.0,3864.6
311,5,10.1,Monsoon,6.5,2520.3
112,2,6.6,Monsoon,6.5,1085.8
567,1,9.5,Monsoon,6.5,3953.5
591,7,9.6,Summer,7.0,4879.8
177,9,13.0,Monsoon,6.5,2066.5
566,5,2.1,Summer,7.0,4233.8
367,9,8.5,Monsoon,6.5,3074.5
402,1,13.5,Summer,7.0,3407.0
487,2,5.2,Summer,7.0,3822.6
478,11,12.7,Summer,7.0,4435.6
223,12,10.6,Winter,6.0,2520.8
434,1,2.7,Monsoon,6.5,2929.6
428,10,11.1,Summer,7.0,4009.8
110,11,4.9,Winter,6.0,1592.2
313,6,8.4,Winter,6.0,2545.2
270,11,8.8,Winter,6.0,2625.4
382,4,10.4,Summer,7.0,3117.2
237,7,10.4,Winter,6.0,2096.2
478,6,6.0,Monsoon,6.5,3561.0
395,8,6.0,Summer,7.0,3441.0
215,2,3.8,Summer,7.0,1820.4
497,2,1.8,Monsoon,6.5,3441.9
175,10,9.0,Monsoon,6.5,2055.5
92,5,6.7,Winter,6.0,957.6
328,10,8.0,Monsoon,6.5,3050.0
222,5,5.3,Summer,7.0,2129.4
144,3,6.9,Summer,7.0,1461.2
575,2,6.0,Winter,6.0,3724.0
587,10,9.2,Monsoon,6.5,4807.1
218,5,1.6,Summer,7.0,1947.8
469,6,7.0,Winter,6.0,3470.0
219,5,5.5,Monsoon,6.5,1854.5
401,3,13.6,Winter,6.0,2994.8
582,10,11.3,Winter,6.0,4474.4
367,7,6.1,Winter,6.0,2965.8
264,11,11.1,Summer,7.0,2736.8
552,12,4.1,Monsoon,6.5,4481.8
150,7,9.9,Monsoon,6.5,1628.2
390,4,4.7,Monsoon,6.5,2854.6
513,7,2.4,Monsoon,6.5,3951.7
490,9,7.8,Monsoon,6.5,4052.4
117,6,10.3,Monsoon,6.5,1562.9
167,2,11.1,Monsoon,6.5,1557.3
125,10,13.8,Summer,7.0,1965.4
520,2,1.6,Winter,6.0,3276.8
306,8,6.2,Summer,7.0,2922.6
592,3,5.8,Monsoon,6.5,4067.4
187,5,6.7,Winter,6.0,1527.6
225,6,5.4,Summer,7.0,2199.2
574,6,7.5,Summer,7.0,4692.0
543,6,2.3,Monsoon,6.5,3855.9
197,1,12.1,Monsoon,6.5,1589.3
248,12,4.5,Monsoon,6.5,2457.0
243,6,8.5,Monsoon,6.5,2293.5
494,11,3.8,Summer,7.0,4350.4
109,12,9.2,Winter,6.0,1642.6
519,7,1.6,Winter,6.0,3572.8
365,12,11.6,Summer,7.0,3541.8
184,9,3.8,Monsoon,6.5,1903.4
548,2,4.8,Summer,7.0,4200.4
400,10,6.4,Monsoon,6.5,3479.2
196,6,5.9,Monsoon,6.5,1913.2
256,11,10.3,Monsoon,6.5,2669.4
166,11,3.2,Monsoon,6.5,1793.6
392,2,3.8,Summer,7.0,2902.4
477,7,9.0,Monsoon,6.5,3951.5
513,3,7.6,Winter,6.0,3610.8
257,9,3.6,Monsoon,6.5,2353.3
271,6,12.0,Summer,7.0,2500.0
89,8,3.2,Winter,6.0,1189.6
597,11,7.7,Monsoon,6.5,4912.1
534,8,3.6,Winter,6.0,3963.8
305,5,1.9,Summer,7.0,2478.2
375,3,11.3,Monsoon,6.5,3087.9
587,9,7.9,Monsoon,6.5,4764.7
354,9,11.8,Summer,7.0,3430.4
122,12,7.0,Monsoon,6.5,1730.0
184,12,11.9,Winter,6.0,2193.2
113,8,4.8,Winter,6.0,1226.4
200,4,4.1,Winter,6.0,1603.8
518,3,9.2,Monsoon,6.5,3774.6
140,10,5.9,Summer,7.0,1788.2
252,6,13.7,Monsoon,6.5,2410.6
353,9,13.8,Winter,6.0,2987.4
501,1,13.9,Summer,7.0,3875.2
215,4,3.3,Monsoon,6.5,1763.9
482,8,3.3,Summer,7.0,3973.4
504,7,7.1,Monsoon,6.5,3826.8
364,12,13.2,Winter,6.0,3371.6
579,6,8.8,Winter,6.0,4007.4
549,11,9.8,Monsoon,6.5,4590.9
487,4,13.6,Summer,7.0,4007.8
354,6,11.9,Winter,6.0,2869.2
213,10,12.2,Monsoon,6.5,2401.1
129,1,2.7,Monsoon,6.5,1064.1
207,3,7.0,Summer,7.0,1690.0
287,12,12.9,Winter,6.0,2867.2
360,2,9.7,Summer,7.0,2899.6
460,11,12.8,Summer,7.0,4227.4
485,11,5.3,Summer,7.0,4227.4
173,12,2.7,Winter,6.0,1852.6
159,3,8.9,Winter,6.0,1513.2
535,1,1.6,Monsoon,6.5,3612.3
512,12,3.2,Summer,7.0,4339.6
472,2,10.6,Summer,7.0,3632.8
400,6,12.5,Summer,7.0,3460.0
216,11,13.9,Winter,6.0,2323.2
88,10,9.6,Summer,7.0,1609.8
298,11,10.9,Winter,6.0,2868.2
533,4,2.6,Monsoon,6.5,3698.3
206,10,10.6,Summer,7.0,2417.8
402,3,4.6,Winter,6.0,2628.8
371,12,1.8,Summer,7.0,3431.4
273,12,6.4,Summer,7.0,2747.2
586,7,2.9,Summer,7.0,4743.2
152,9,12.6,Monsoon,6.5,1781.8
404,3,6.3,Winter,6.0,2936.4
454,9,10.0,Winter,6.0,3680.0
97,10,2.3,Summer,7.0,1377.4
120,1,13.4,Summer,7.0,1333.2
373,11,10.4,Monsoon,6.5,3492.7
491,2,9.5,Winter,6.0,3467.0
236,5,2.5,Monsoon,6.5,1819.0
288,3,8.2,Monsoon,6.5,2346.6
147,5,10.2,Monsoon,6.5,1538.1
330,2,13.1,Summer,7.0,2715.8
136,5,9.8,Winter,6.0,1354.4
92,12,3.2,Summer,7.0,1368.6
588,6,8.0,Summer,7.0,4712.0
